"classid","yearstea","mathknow","mathprep","schoolid"
"160",1,NA,2,"1"
"217",2,-0.11,3.25,"1"
"197",1,-1.25,2.5,"2"
"211",2,-0.72,2.33,"2"
"307",12.54,NA,2.3,"2"
"11",20,0.45,3.83,"3"
"137",5,0.99,2.25,"3"
"145",19,1.61,3,"3"
"228",8,1.14,2.17,"3"
"48",27,-1.05,2,"4"
"179",12,NA,2,"4"
"299",3,0.22,3.75,"5"
"254",1,-0.86,1.75,"6"
"286",24,-0.73,4,"6"
"291",19,-0.98,2.5,"6"
"89",13,1.53,2.33,"7"
"107",7,NA,2.5,"7"
"162",8,1.1,2.33,"7"
"280",13,-0.79,3.33,"7"
"147",6,-0.14,2,"8"
"265",6,-0.07,2,"8"
"279",22,0.28,1.5,"8"
"17",23,-1.05,1.25,"9"
"58",23,-0.42,1.17,"9"
"283",24,-0.43,3,"9"
"178",15,-1.06,3.25,"10"
"208",21,-0.48,2.5,"10"
"278",1,NA,2,"10"
"303",24,0.48,3.75,"10"
"86",6,0.12,4,"11"
"113",4,-0.42,2.5,"11"
"131",24,-0.13,2.25,"11"
"172",3,-0.52,2.24,"11"
"195",3,0.31,2.5,"11"
"201",1,-0.73,3,"11"
"233",27,-1.32,2,"11"
"285",2,-0.72,2,"11"
"293",4,-1.02,2.5,"11"
"20",6,0.32,3,"12"
"49",5,-0.84,1.5,"12"
"81",2,1.21,2,"12"
"251",16,NA,3.06,"12"
"302",25,-0.19,2.5,"12"
"64",20,0.12,2.5,"13"
"166",1,1.19,2,"13"
"41",17,0.86,5.25,"14"
"141",24,0.12,3,"14"
"167",22,-0.42,2,"14"
"5",14,0.15,1.33,"15"
"85",24,-0.7,6,"15"
"92",30,-0.34,2.25,"15"
"119",12,0.35,2.5,"15"
"260",5,-1.21,1,"15"
"206",12,0.89,2.3,"16"
"256",12,-0.48,4,"16"
"7",21,NA,2.83,"17"
"10",5,-1.26,3.25,"17"
"87",19,-0.42,2.5,"17"
"177",21,-2.31,3.33,"17"
"216",8,-1.42,3,"17"
"31",23,1.13,2.25,"18"
"98",1,-0.41,2.25,"19"
"110",30,-1.39,5.5,"19"
"170",2,-0.17,1.75,"19"
"30",19,-1.84,3.33,"20"
"94",5,-0.5,2.5,"20"
"101",6,-0.84,2.25,"20"
"6",8,-0.12,3.75,"21"
