"childid","schoolid","classid","sex","minority","mathkind","mathgain","ses"
"1","1","160","F","Mnrt=Yes",448,32,0.46
"2","1","160","M","Mnrt=Yes",460,109,-0.27
"3","1","160","F","Mnrt=Yes",511,56,-0.03
"4","1","217","M","Mnrt=Yes",449,83,-0.38
"5","1","217","M","Mnrt=Yes",425,53,-0.03
"6","1","217","F","Mnrt=Yes",450,65,0.76
"7","1","217","M","Mnrt=Yes",452,51,-0.03
"8","1","217","M","Mnrt=Yes",443,66,0.2
"9","1","217","F","Mnrt=Yes",422,88,0.64
"10","1","217","M","Mnrt=Yes",480,-7,0.13
"11","1","217","M","Mnrt=Yes",502,60,0.83
"12","2","197","F","Mnrt=Yes",502,-2,0.06
"13","2","197","M","Mnrt=No",430,101,0.3
"14","2","211","M","Mnrt=No",526,30,-0.27
"15","2","211","M","Mnrt=No",504,65,0.74
"16","2","211","F","Mnrt=No",527,29,0.31
"17","2","211","F","Mnrt=No",462,152,1.1
"18","2","307","M","Mnrt=No",483,50,0.52
"19","2","307","F","Mnrt=Yes",516,60,-1.15
"20","2","307","M","Mnrt=Yes",476,74,0
"21","2","307","M","Mnrt=Yes",453,91,0.39
"22","3","11","M","Mnrt=No",494,68,-0.06
"23","3","11","M","Mnrt=No",416,94,-0.26
"24","3","11","M","Mnrt=No",456,120,0.64
"25","3","11","F","Mnrt=No",445,58,-0.37
"26","3","137","M","Mnrt=No",446,123,0.54
"27","3","137","F","Mnrt=No",479,88,2.21
"28","3","145","M","Mnrt=Yes",474,60,-0.43
"29","3","145","M","Mnrt=No",453,152,0.41
"30","3","145","M","Mnrt=No",494,96,0.06
"31","3","145","F","Mnrt=No",529,57,-0.09
"32","3","145","M","Mnrt=Yes",461,115,1.58
"33","3","228","M","Mnrt=No",482,58,0.12
"34","3","228","M","Mnrt=No",475,51,-0.35
"35","3","228","M","Mnrt=No",464,104,0.9
"36","4","48","F","Mnrt=Yes",496,65,-1.03
"37","4","48","F","Mnrt=Yes",443,64,-0.8
"38","4","48","M","Mnrt=Yes",455,59,1.04
"39","4","48","M","Mnrt=Yes",447,70,-0.3
"40","4","179","F","Mnrt=Yes",501,63,0.9
"41","4","179","M","Mnrt=Yes",434,-110,-0.37
"42","5","299","F","Mnrt=Yes",462,73,-0.03
"43","5","299","M","Mnrt=Yes",444,100,-0.03
"44","5","299","F","Mnrt=Yes",472,-9,-1.39
"45","5","299","F","Mnrt=Yes",450,67,-1.25
"46","5","299","M","Mnrt=Yes",463,58,-0.28
"47","5","299","F","Mnrt=Yes",381,72,0.41
"48","6","254","F","Mnrt=Yes",447,88,0.01
"49","6","254","M","Mnrt=No",504,115,-0.31
"50","6","286","M","Mnrt=Yes",483,62,-1.43
"51","6","286","F","Mnrt=No",459,42,-0.73
"52","6","286","M","Mnrt=No",472,88,1.31
"53","6","286","F","Mnrt=No",475,71,0.09
"54","6","286","M","Mnrt=Yes",468,74,0.35
"55","6","286","M","Mnrt=No",467,67,-0.02
"56","6","291","F","Mnrt=Yes",418,74,0.79
"57","6","291","F","Mnrt=Yes",415,87,-0.69
"58","6","291","M","Mnrt=Yes",444,83,-0.44
"59","6","291","M","Mnrt=Yes",433,93,0.29
"60","7","89","M","Mnrt=No",427,56,-1.3
"61","7","89","F","Mnrt=No",428,40,-0.32
"62","7","89","F","Mnrt=No",429,69,0.57
"63","7","107","F","Mnrt=No",497,75,-0.03
"64","7","107","F","Mnrt=Yes",422,57,0.94
"65","7","107","F","Mnrt=Yes",487,23,-1.02
"66","7","107","M","Mnrt=Yes",435,53,-0.88
"67","7","162","F","Mnrt=No",411,114,-0.78
"68","7","162","F","Mnrt=No",396,56,-0.98
"69","7","280","M","Mnrt=No",462,55,1.41
"70","7","280","F","Mnrt=No",463,28,-0.35
"71","7","280","M","Mnrt=Yes",444,61,-1.15
"72","7","280","F","Mnrt=No",451,59,-0.46
"73","7","280","F","Mnrt=No",437,57,-0.21
"74","8","147","M","Mnrt=Yes",484,85,0.62
"75","8","147","M","Mnrt=Yes",488,28,0.18
"76","8","147","F","Mnrt=Yes",475,166,-0.14
"77","8","147","M","Mnrt=Yes",544,61,1.11
"78","8","147","F","Mnrt=Yes",467,47,-0.79
"79","8","265","F","Mnrt=Yes",509,62,0.86
"80","8","265","F","Mnrt=Yes",489,35,-0.11
"81","8","265","F","Mnrt=Yes",448,52,0.15
