"party","income","education","age"
"Republican",1.5,"HS",36
"Democrat",1.5,"Coll",20
"Democrat",1.5,"BAdeg",24
"Democrat",1.5,"BAdeg",28
"Democrat",1.5,"BAdeg",68
"Democrat",1.5,"Coll",21
"Democrat",1.5,"Coll",77
"Independent",1.5,"Coll",21
"Independent",1.5,"Coll",31
"Democrat",1.5,"HS",39
"Independent",1.5,"HSdrop",26
"Democrat",1.5,"Coll",31
"Republican",1.5,"Coll",22
"Democrat",1.5,"CCdeg",42
"Democrat",1.5,"MS",74
"Democrat",1.5,"HS",62
"Democrat",1.5,"HS",58
"Democrat",1.5,"BAdeg",24
"Republican",1.5,"Coll",51
"Democrat",4,"HS",36
"Independent",4,"HSdrop",88
"Independent",4,"Coll",20
"Independent",4,"HS",27
"Republican",4,"Coll",44
"Democrat",4,"HS",45
"Democrat",4,"Coll",21
"Democrat",4,"CCdeg",40
"Democrat",4,"BAdeg",40
"Democrat",4,"HS",48
"Democrat",4,"HS",34
"Independent",4,"HSdrop",26
"Democrat",6,"HSdrop",60
"Democrat",6,"HS",32
"Democrat",6,"HS",31
"Independent",6,"HS",33
"Democrat",6,"HS",57
"Democrat",6,"HS",84
"Republican",6,"HS",75
"Republican",6,"Coll",19
"Democrat",6,"BAdeg",47
"Democrat",6,"HSdrop",51
"Republican",6,"HS",40
"Democrat",6,"BAdeg",22
"Republican",6,"HSdrop",35
"Independent",6,"CCdeg",43
"Independent",6,"BAdeg",76
"Republican",6,"HS",45
"Democrat",6,"HSdrop",88
"Democrat",8,"HS",46
"Independent",8,"BAdeg",22
"Republican",8,"HS",68
"Republican",8,"HS",38
"Independent",8,"HSdrop",69
"Democrat",8,"HS",67
"Democrat",8,"Coll",88
"Republican",8,"HS",68
"Independent",8,"HS",76
"Democrat",8,"HSdrop",72
"Republican",8,"BAdeg",37
"Democrat",8,"HS",69
"Democrat",8,"BAdeg",33
"Democrat",8,"Coll",34
"Independent",8,"HS",30
"Democrat",8,"HS",19
"Democrat",8,"HS",44
"Democrat",8,"HS",64
"Democrat",8,"Coll",37
"Independent",9.5,"CCdeg",31
"Independent",9.5,"Coll",88
"Republican",9.5,"Coll",77
"Republican",9.5,"BAdeg",30
"Democrat",9.5,"Coll",32
"Republican",9.5,"MS",59
"Independent",9.5,"Coll",47
"Democrat",9.5,"HS",22
"Independent",9.5,"HS",55
"Democrat",9.5,"HSdrop",24
"Democrat",9.5,"MS",65
"Independent",9.5,"HS",24
"Independent",9.5,"HS",30
"Independent",9.5,"HS",73
"Democrat",9.5,"CCdeg",73
"Independent",9.5,"MS",91
"Democrat",9.5,"HSdrop",71
"Independent",9.5,"Coll",34
"Democrat",10.5,"HSdrop",48
"Republican",10.5,"Coll",42
"Democrat",10.5,"HSdrop",72
"Republican",10.5,"Coll",20
"Democrat",10.5,"Coll",22
"Democrat",10.5,"BAdeg",24
"Independent",10.5,"BAdeg",39
"Republican",10.5,"CCdeg",83
"Republican",10.5,"HS",39
"Democrat",10.5,"CCdeg",33
"Democrat",10.5,"HS",53
"Republican",10.5,"HS",82
"Republican",10.5,"HS",82
"Republican",11.5,"BAdeg",47
"Independent",11.5,"HS",68
"Democrat",11.5,"BAdeg",84
"Republican",11.5,"CCdeg",35
"Democrat",11.5,"HSdrop",67
"Independent",11.5,"HSdrop",33
"Democrat",11.5,"MAdeg",49
"Democrat",11.5,"MS",91
"Democrat",11.5,"HS",43
"Republican",11.5,"Coll",65
"Democrat",11.5,"HS",69
"Democrat",12.5,"Coll",56
"Democrat",12.5,"BAdeg",24
"Democrat",12.5,"HS",77
"Democrat",12.5,"HS",74
"Republican",12.5,"BAdeg",25
"Independent",12.5,"MS",85
"Independent",12.5,"HSdrop",21
"Democrat",12.5,"Coll",24
"Independent",12.5,"Coll",73
"Independent",12.5,"HS",37
"Independent",12.5,"Coll",35
"Democrat",12.5,"HS",47
"Republican",12.5,"HS",21
"Democrat",12.5,"CCdeg",55
"Republican",12.5,"BAdeg",30
"Independent",12.5,"MAdeg",76
"Independent",12.5,"Coll",36
"Democrat",13.5,"HS",38
"Democrat",13.5,"HS",67
"Republican",13.5,"HSdrop",70
"Independent",13.5,"Coll",78
"Independent",13.5,"BAdeg",27
"Democrat",13.5,"Coll",51
"Republican",13.5,"Coll",33
"Republican",13.5,"BAdeg",80
"Democrat",13.5,"MS",79
"Independent",13.5,"MS",66
"Democrat",14.5,"HS",32
"Democrat",14.5,"HSdrop",70
"Independent",14.5,"HS",42
"Republican",14.5,"Coll",73
"Democrat",14.5,"HSdrop",87
"Democrat",14.5,"CCdeg",30
"Independent",14.5,"HS",52
"Democrat",14.5,"Coll",62
"Democrat",14.5,"HS",67
"Independent",14.5,"BAdeg",37
"Democrat",14.5,"Coll",37
"Democrat",14.5,"BAdeg",64
"Democrat",14.5,"HS",34
"Democrat",14.5,"HS",70
"Republican",14.5,"CCdeg",31
"Democrat",16,"BAdeg",29
"Democrat",16,"HSdrop",71
"Democrat",16,"MS",67
"Democrat",16,"MAdeg",41
"Democrat",16,"BAdeg",49
"Democrat",16,"CCdeg",42
"Democrat",16,"HSdrop",78
"Democrat",16,"HS",24
"Democrat",16,"HS",29
